idx cal0 cal1 cal2 cal3 cal4 cal5 cal6 cal7 cal8 cal9 cal10 likelyhood	idx         	AGBc        	height      	LAI         	NPP         	NPP/GPP     
89 0.5560 0.3905 0.7820 0.1124 0.1727 0.4449 8.1395 0.5235 0.1920 4.0519 0.0273 0.00009100	89	22.498341156863	31.064551176471	3.849459745098	1.438903470588	0.450612148010	
90 0.5568 0.3618 0.7875 0.1117 0.1756 0.4555 8.2569 0.5227 0.1939 4.1707 0.0272 0.00009700	90	23.587736411765	33.324953980392	3.881860823529	1.429469568627	0.450164738868	
91 0.5536 0.3713 0.7886 0.1162 0.1654 0.4630 8.1467 0.5328 0.1880 4.1134 0.0286 0.00009500	91	22.317833117647	32.698568862745	3.826265627451	1.435514235294	0.457527472245	
92 0.5584 0.3718 0.7891 0.1145 0.1552 0.4496 8.1159 0.5256 0.1884 4.3426 0.0291 0.00009300	92	22.258759843137	31.248565294118	3.946717588235	1.440306098039	0.462358606445	
93 0.5422 0.3742 0.7742 0.1144 0.1538 0.4477 8.0501 0.5294 0.1860 4.4422 0.0293 0.00009100	93	22.263185156863	30.816616745098	3.963062882353	1.443156117647	0.467915549359	
94 0.5491 0.3804 0.7899 0.1083 0.1544 0.4625 8.1857 0.5294 0.1887 4.4574 0.0286 0.00009000	94	22.628517274510	33.034438843137	3.969423431373	1.443548490196	0.467091719385	
95 0.5437 0.4058 0.7989 0.1042 0.1550 0.4717 8.1836 0.5480 0.1827 4.5751 0.0291 0.00008400	95	21.893328176471	33.387796215686	3.920865313725	1.451559941176	0.482134855540	
96 0.5338 0.4060 0.7926 0.1043 0.1594 0.4776 8.1292 0.5481 0.1856 4.3383 0.0292 0.00008300	96	21.521633803922	33.450083901961	3.844403196078	1.450645117647	0.474572608587	
97 0.5117 0.4017 0.7990 0.1081 0.1648 0.4703 7.9655 0.5363 0.1905 4.2979 0.0287 0.00008500	97	21.722647254902	32.228859921569	3.880526313725	1.447709745098	0.463976569772	
98 0.5198 0.4137 0.7967 0.1064 0.1613 0.4529 8.0851 0.5475 0.2000 4.0000 0.0284 0.00008900	98	21.020678490196	30.564063862745	3.726448313725	1.437197274510	0.449654649914	
99 0.5306 0.4209 0.7918 0.1003 0.1574 0.4668 8.1013 0.5480 0.1973 4.2751 0.0283 0.00008300	99	21.435865862745	32.221330078431	3.826521568627	1.448428647059	0.461610028800	
100 0.5314 0.4115 0.8016 0.1014 0.1582 0.4552 7.9851 0.5426 0.1969 4.1816 0.0289 0.00008500	100	21.131050823529	30.463083039216	3.816483392157	1.444878588235	0.459424902946	
101 0.5277 0.3947 0.8092 0.1023 0.1634 0.4579 7.9534 0.5543 0.1968 4.2248 0.0289 0.00009400	101	21.716924549020	31.021917607843	3.766335803922	1.437336450980	0.461183555902	
102 0.5433 0.4015 0.8099 0.1020 0.1647 0.4673 7.8705 0.5577 0.1868 4.2435 0.0288 0.00008800	102	21.807984549020	31.633632156863	3.764500156863	1.446262862745	0.473297375278	
103 0.5385 0.4050 0.8017 0.0966 0.1619 0.4674 8.0104 0.5470 0.1871 4.3044 0.0283 0.00008400	103	22.077953274510	32.405735882353	3.839401686275	1.450747549020	0.474933776268	
104 0.5277 0.4113 0.8088 0.0982 0.1618 0.4645 8.0423 0.5666 0.1856 4.1215 0.0282 0.00008600	104	21.848216803922	32.081802196078	3.692981803922	1.447171411765	0.474644848121	
105 0.5253 0.3901 0.7822 0.0980 0.1562 0.4621 7.9652 0.5724 0.1901 4.2894 0.0283 0.00009500	105	22.629673352941	32.123429843137	3.716032529412	1.438038823529	0.473539228762	
106 0.5189 0.3944 0.7784 0.0937 0.1511 0.4644 7.9678 0.5668 0.1886 4.0000 0.0287 0.00009400	106	21.717333254902	31.674189156863	3.653043372549	1.437278411765	0.471359981502	
107 0.5245 0.3933 0.7744 0.0916 0.1554 0.4638 7.9947 0.5705 0.1812 4.0386 0.0282 0.00009200	107	22.311868490196	32.164695764706	3.651785941176	1.441684941176	0.481543476645	
108 0.5357 0.3992 0.7771 0.0908 0.1490 0.4759 8.0031 0.5904 0.1816 4.0000 0.0283 0.00009200	108	22.069340549020	33.202933431373	3.560990803922	1.438493431373	0.483640869287	
109 0.5408 0.3873 0.7877 0.0936 0.1509 0.4599 7.9509 0.6000 0.1848 4.0000 0.0280 0.00009900	109	22.684127176471	31.887827176471	3.517014686275	1.430460725490	0.478824429050	
110 0.5427 0.4063 0.7851 0.0936 0.1505 0.4686 7.9082 0.6000 0.1923 4.0000 0.0276 0.00009600	110	22.314750470588	32.298152196078	3.519071274510	1.431882372549	0.470341113492	
111 0.5472 0.4205 0.7641 0.0889 0.1521 0.4848 7.7875 0.5974 0.1938 4.0042 0.0268 0.00008900	111	22.473762313725	33.518506235294	3.536026313725	1.437918078431	0.470358747473	
113 0.5414 0.4261 0.7579 0.0853 0.1562 0.4885 7.8825 0.6000 0.1942 4.0000 0.0271 0.00008500	113	22.183355411765	34.064046901961	3.523438862745	1.440776254902	0.472794045794	
114 0.5471 0.3992 0.7563 0.0826 0.1555 0.4751 7.8434 0.5939 0.1849 4.2259 0.0268 0.00008900	114	23.613443960784	33.644660000000	3.616498254902	1.441197137255	0.487836209199	
115 0.5601 0.4073 0.7572 0.0811 0.1456 0.4794 7.7840 0.5939 0.1898 4.3530 0.0269 0.00008900	115	23.431607058824	33.690181803922	3.661637117647	1.442138137255	0.486229340049	
116 0.5466 0.4051 0.7500 0.0820 0.1432 0.4628 7.8945 0.5992 0.1861 4.0918 0.0263 0.00009100	116	23.683941117647	32.651257254902	3.564998725490	1.438754313725	0.483786804094	
117 0.5435 0.4084 0.7699 0.0831 0.1374 0.4660 7.8781 0.5881 0.1864 4.0000 0.0260 0.00009000	117	23.513468725490	32.775929784314	3.586242352941	1.439057470588	0.478936373914	
118 0.5473 0.4065 0.7651 0.0847 0.1337 0.4712 7.7038 0.6000 0.1866 4.2452 0.0260 0.00008800	118	24.106572294118	32.993076117647	3.616753823529	1.440474529412	0.484661274956	
119 0.5520 0.4059 0.7525 0.0818 0.1343 0.4646 7.8090 0.6000 0.1844 4.4631 0.0254 0.00008200	119	25.040076137255	33.413965941176	3.682742509804	1.444381196078	0.492347385398	
120 0.5562 0.4054 0.7630 0.0787 0.1403 0.4637 7.6907 0.6000 0.1875 4.0594 0.0250 0.00008700	120	24.725516764706	32.595727509804	3.557233843137	1.437853137255	0.481623403901	
121 0.5502 0.4170 0.7771 0.0780 0.1368 0.4678 7.6413 0.6000 0.1958 4.3119 0.0250 0.00008400	121	24.734831862745	32.818245784314	3.637542078431	1.441773078431	0.478797531039	
122 0.5575 0.4163 0.7820 0.0795 0.1430 0.4720 7.6885 0.5968 0.2000 4.5297 0.0250 0.00008200	122	25.040248529412	33.681674294118	3.706251450980	1.442309254902	0.477368744026	
123 0.5652 0.4358 0.7800 0.0798 0.1410 0.4657 7.5324 0.5913 0.1968 4.5742 0.0250 0.00007600	123	24.512290901961	31.994866215686	3.755119098039	1.456030509804	0.481301832385	
124 0.5639 0.4425 0.7877 0.0803 0.1394 0.4698 7.6298 0.6000 0.2000 4.4983 0.0250 0.00007600	124	24.182495196078	32.603111686275	3.698055549020	1.454239470588	0.477423020747	
125 0.5562 0.4460 0.7898 0.0791 0.1389 0.4874 7.7923 0.5868 0.1987 4.7495 0.0252 0.00006800	125	24.211470392157	35.183853901961	3.828104490196	1.461467274510	0.483034120298	
126 0.5400 0.4455 0.7905 0.0761 0.1386 0.4785 7.7484 0.5855 0.1938 4.6196 0.0256 0.00007200	126	23.719446960784	33.662688568627	3.798196098039	1.462357764706	0.488310457630	
127 0.5411 0.4377 0.7863 0.0745 0.1427 0.4724 7.6425 0.5810 0.1998 4.5200 0.0252 0.00007600	127	24.111975803922	32.867888568627	3.782607294118	1.456668352941	0.479602892283	
128 0.5424 0.4288 0.7850 0.0734 0.1424 0.4495 7.5221 0.6000 0.2000 4.1479 0.0256 0.00008400	128	23.539462196078	29.786762901961	3.585413725490	1.443608666667	0.475141281074	
129 0.5405 0.4392 0.7921 0.0725 0.1419 0.4446 7.4420 0.5989 0.1995 4.3546 0.0258 0.00007800	129	23.369536215686	28.931013647059	3.656298509804	1.451663549020	0.481236865970	
130 0.5330 0.4348 0.7918 0.0743 0.1431 0.4468 7.3857 0.6000 0.2000 4.6446 0.0260 0.00007900	130	23.804369098039	29.168959627451	3.730331647059	1.452179333333	0.485694169591	
131 0.5377 0.4262 0.7838 0.0731 0.1453 0.4581 7.5000 0.5980 0.1943 4.6703 0.0266 0.00008400	131	23.596973000000	30.531783490196	3.740552588235	1.450648431373	0.493387101187	
132 0.5372 0.4303 0.7964 0.0760 0.1497 0.4736 7.4751 0.6000 0.2000 4.7614 0.0271 0.00008700	132	23.135287941176	31.596159294118	3.749716862745	1.449059215686	0.488267839688	
133 0.5355 0.4250 0.7943 0.0803 0.1381 0.4551 7.6163 0.6000 0.2000 4.8398 0.0277 0.00009000	133	22.923309862745	30.292042725490	3.775320549020	1.445559196078	0.487484202497	
134 0.5414 0.4163 0.7993 0.0769 0.1453 0.4670 7.5724 0.5961 0.2000 4.9887 0.0273 0.00009200	134	23.598910921569	31.695090196078	3.823337705882	1.444092333333	0.491194969743	
135 0.5323 0.4219 0.8025 0.0775 0.1470 0.4513 7.4949 0.5817 0.1973 4.8073 0.0280 0.00008600	135	22.612810705882	29.257086274510	3.840205392157	1.448838294118	0.489527085646	
136 0.5498 0.4097 0.7932 0.0809 0.1467 0.4653 7.4561 0.5943 0.2000 4.8885 0.0284 0.00009600	136	22.827494294118	30.523094509804	3.798540274510	1.440837450980	0.487939378274	
137 0.5497 0.4034 0.7844 0.0789 0.1460 0.4733 7.5061 0.6000 0.2000 4.8223 0.0282 0.00009800	137	23.129653980392	31.687562411765	3.756308647059	1.438099176471	0.488369490073	
138 0.5427 0.4010 0.7750 0.0773 0.1448 0.4613 7.5081 0.5859 0.1984 5.1511 0.0280 0.00009600	138	23.728842941176	30.966531843137	3.905153745098	1.441113098039	0.494552147101	
139 0.5432 0.3774 0.7739 0.0783 0.1380 0.4561 7.5611 0.5871 0.1976 5.0211 0.0278 0.00010100	139	24.416775352941	31.124256529412	3.867008960784	1.433369392157	0.491868811575	
140 0.5369 0.3841 0.7816 0.0803 0.1360 0.4623 7.4767 0.5978 0.2000 4.7952 0.0278 0.00010200	140	24.031884666667	31.119018470588	3.762833431373	1.432060882353	0.485517759392	
